,O.diatom,E.diatom,OoverE.diatom,Onull.diatom,Enull.diatom,OoverE.null.diatom,BC.diatom,BC.null.diatom,Type.diatom,Type.diatom.1,MMI.diatom,Type.null.diatom,MMI.null.diatom,ASCI.diatom,ASCI.null.diatom,O.sba,E.sba,OoverE.sba,Onull.sba,Enull.sba,OoverE.null.sba,BC.sba,BC.null.sba,Type.sba,Type.sba.1,MMI.sba,Type.null.sba,MMI.null.sba,ASCI.sba,ASCI.null.sba,O.hybrid,E.hybrid,OoverE.hybrid,Onull.hybrid,Enull.hybrid,OoverE.null.hybrid,BC.hybrid,BC.null.hybrid,Type.hybrid,Type.hybrid.1,MMI.hybrid,Type.null.hybrid,MMI.null.hybrid,ASCI.hybrid,ASCI.null.hybrid,zed
603PS0044_9.14.11_1,7,9.194499687,0.761324731,8,8.674796748,0.922211809,0.29692511,0.250771981,int,Intermediate,0.828374088,Intermediate,0.828374088,0.794849409,0.875292948,4,4.59001434,0.871456972,4,4.943349754,0.809167912,0.398690635,0.457449738,int,Intermediate,0.962344438,Intermediate,0.962344438,0.916900705,0.885756175,10,9.696521921,1.031297622,10,10.00478469,0.99952176,0.259070805,0.288686917,int,Intermediate,0.85721192,Intermediate,0.85721192,0.944254771,0.92836684,603PS0044_9.14.11_1
603PS0045_8.29.11_1,9,8.780424241,1.02500742,8,8.674796748,0.922211809,0.151159605,0.180237283,rc,Reference,1.228876065,Reference,1.228876065,1.126941743,1.075543937,6,6.691526427,0.8966564,5,4.943349754,1.01145989,0.357894406,0.41738915,rc,Reference,1.008003953,Reference,1.008003953,0.952330177,1.009731922,9,8.004735782,1.124334425,11,10.00478469,1.099473936,0.205542333,0.224601367,rc,Reference,1.159149936,Reference,1.159149936,1.14174218,1.129311936,603PS0045_8.29.11_1
603PS0045_8.29.11_2,10,10.24364271,0.976215228,8,8.674796748,0.922211809,0.138827412,0.200065009,other,Reference,1.32529117,Reference,1.32529117,1.150753199,1.12375149,6,5.121994682,1.171418631,5,4.943349754,1.01145989,0.235959711,0.41738915,other,Reference,1.00849212,Reference,1.00849212,1.089955375,1.009976005,15,14.72130846,1.018931166,10,10.00478469,0.99952176,0.248723983,0.249461851,other,Reference,1.089804805,Reference,1.089804805,1.054367986,1.044663282,603PS0045_8.29.11_2
603PS0056_8.31.11_1,8,7.826012976,1.022231885,5,8.674796748,0.576382381,0.257523424,0.368212446,rc,Reference,1.249603767,Reference,1.249603767,1.135917826,0.912993074,4,3.693544649,1.082970528,6,4.943349754,1.213751868,0.343748635,0.381949133,rc,Reference,0.898870731,Reference,0.898870731,0.99092063,1.0563113,14,12.23968383,1.143820395,8,10.00478469,0.799617408,0.27291635,0.345734786,rc,Reference,1.087896565,Reference,1.087896565,1.11585848,0.943756986,603PS0056_8.31.11_1
603PS0072_9.12.11_1,8,9.45248464,0.846338323,6,8.674796748,0.691658857,0.228081555,0.289381348,int,Intermediate,1.309204345,Intermediate,1.309204345,1.077771334,1.000431601,4,4.892533989,0.817572246,4,4.943349754,0.809167912,0.342755912,0.406774993,int,Intermediate,0.983188586,Intermediate,0.983188586,0.900380416,0.896178249,9,8.825791136,1.019738612,9,10.00478469,0.899569584,0.225874769,0.274924471,int,Intermediate,1.190383245,Intermediate,1.190383245,1.105060928,1.044976414,603PS0072_9.12.11_1
603PS0073_9.13.11_1,12,9.341491975,1.284591373,9,8.674796748,1.037488285,0.124569924,0.148727384,rc,Reference,0.986610992,Reference,0.986610992,1.135601182,1.012049639,4,5.153773817,0.776130296,3,4.943349754,0.606875934,0.437381813,0.511317829,rc,Reference,0.88327845,Reference,0.88327845,0.829704373,0.745077192,12,9.598780978,1.250158747,11,10.00478469,1.099473936,0.175275795,0.213667426,rc,Reference,0.984752732,Reference,0.984752732,1.11745574,1.042113334,603PS0073_9.13.11_1
603PS0075_7.31.12_1,13,9.991596979,1.301093311,11,8.674796748,1.268041237,0.130847936,0.118181818,other,Reference,1.460197108,Reference,1.460197108,1.380645209,1.364119172,3,3.78011786,0.793626048,3,4.943349754,0.606875934,0.402033076,0.528062016,other,Reference,1.106628902,Reference,1.106628902,0.950127475,0.856752418,12,10.19554503,1.17698465,12,10.00478469,1.199426112,0.136986186,0.205914329,other,Reference,1.273528313,Reference,1.273528313,1.225256482,1.236477212,603PS0075_7.31.12_1
603PS0075_8.15.12_1,10,9.991596979,1.000841009,8,8.674796748,0.922211809,0.208357615,0.178612059,rv,Reference,1.200722198,Reference,1.200722198,1.100781603,1.061467003,2,3.943094532,0.507215839,1,4.943349754,0.202291978,0.481094885,0.679237464,rv,Reference,0.986871693,Reference,0.986871693,0.747043766,0.594581835,10,10.13551249,0.986629933,9,10.00478469,0.899569584,0.191163602,0.254783484,rv,Reference,1.064219422,Reference,1.064219422,1.025424677,0.981894503,603PS0075_8.15.12_1
603PS0076_7.23.12_1,11,8.394704892,1.310349815,11,8.674796748,1.268041237,0.134330227,0.118181818,rc,Reference,1.146685558,Reference,1.146685558,1.228517686,1.207363398,4,2.625073656,1.523766768,6,4.943349754,1.213751868,0.207533745,0.340535674,rc,Reference,1.058006182,Reference,1.058006182,1.290886475,1.135879025,13,9.220303105,1.409931957,14,10.00478469,1.399330464,0.17010105,0.166434124,rc,Reference,1.090320509,Reference,1.090320509,1.250126233,1.244825487,603PS0076_7.23.12_1
603PS0079_8.1.12_1,12,10.15681592,1.181472628,11,8.674796748,1.268041237,0.139461404,0.118181818,int,Intermediate,1.035222162,Intermediate,1.035222162,1.108347395,1.1516317,4,5.796516864,0.690069587,4,4.943349754,0.809167912,0.47336828,0.419443679,int,Intermediate,1.020074202,Intermediate,1.020074202,0.855071895,0.914621057,11,8.904052028,1.235392602,12,10.00478469,1.199426112,0.167629706,0.187866928,int,Intermediate,1.093083468,Intermediate,1.093083468,1.164238035,1.14625479,603PS0079_8.1.12_1
